[2025-10-26 23:09:56] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-26 23:09:56","level":"EMERGENCY","message":"Maximum execution time of 120 seconds exceeded","context":[],"file":"C:\\xampp\\htdocs\\ovas\\inc\\topBarNav.php","line":9,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.0 Safari\/537.36","request_uri":"\/ovas\/"}
[2025-10-26 23:09:56] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-26 23:15:33] EMERGENCY: Maximum execution time of 120 seconds exceeded in C:\xampp\htdocs\ovas\inc\topBarNav.php:5 | IP: ::1 | User: guest | Context: []
[2025-10-26 23:15:33] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-26 23:15:33","level":"EMERGENCY","message":"Maximum execution time of 120 seconds exceeded","context":[],"file":"C:\\xampp\\htdocs\\ovas\\inc\\topBarNav.php","line":5,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.0 Safari\/537.36","request_uri":"\/ovas\/"}
[2025-10-26 23:15:33] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-26 23:38:06] 2: Undefined array key "admin" in C:\xampp\htdocs\ovas\inc\topBarNav.php:130 | IP: ::1 | User: guest | Context: []
[2025-10-26 23:38:34] CRITICAL: syntax error, unexpected token "=>" in C:\xampp\htdocs\ovas\services.php:32 | IP: ::1 | User: guest | Context: {"trace":"#0 {main}","code":0}
[2025-10-26 23:38:34] ERROR: Database logging failed: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.error_logs' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:117 | IP: ::1 | User: guest | Context: {"timestamp":"2025-10-26 23:38:34","level":"CRITICAL","message":"syntax error, unexpected token \"=>\"","context":{"trace":"#0 {main}","code":0},"file":"C:\\xampp\\htdocs\\ovas\\services.php","line":32,"user_id":null,"ip_address":"::1","user_agent":"Mozilla\/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit\/537.36 (KHTML, like Gecko) Chrome\/141.0.0.0 Safari\/537.36","request_uri":"\/ovas\/?page=services"}
[2025-10-26 23:38:34] ERROR: Failed to create admin alert: SQLSTATE[42S02]: Base table or view not found: 1146 Table 'ovas_db.admin_alerts' doesn't exist in C:\xampp\htdocs\ovas\classes\ErrorLogger.php:154 | IP: ::1 | User: guest | Context: []
[2025-10-26 23:38:39] CRITICAL: syntax error, unexpected token "=>" in C:\xampp\htdocs\ovas\services.php:32 | IP: ::1 | User: guest | Context: {"trace":"#0 {main}","code":0}
